央视台,#genre#
CCTV-1,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-1,http://yeyuaihao.gz01.bdysite.com/dl/gzyx.php?id=ca1f525f17a2eddd9c98fbe17997d9df
CCTV-1,http://101.71.255.229:6610/zjhs/2/10079/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-1,http://121.31.30.90:8085/ysten-business/live/cctv-1/yst.m3u8
CCTV-1,https://116.77.72.195/streams/d/cctv1a/playlist.m3u8
CCTV-1,http://ml.fzszyx.com/tvshow.php?id=114_3
CCTV-1,http://l1.weihai.tv:8081/hls/3bjRUVNYwi.m3u8
CCTV-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228504/index.m3u8?fmt=ts2hls
CCTV-1,http://221.6.85.150:9000/live/cctv1_800/cctv1_800.m3u8
CCTV-2,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-2,https://116.77.72.195/streams/d/cctv2/playlist.m3u8
CCTV-2,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228482/index.m3u8?fmt=ts2hls
CCTV-2,http://221.6.85.150:9000/live/cctv2_800/cctv2_800.m3u8
CCTV-2,http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-2,http://ml.fzszyx.com/tvshow.php?id=115_3
CCTV-3,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-3,https://116.77.72.195/streams/d/cctv3/playlist.m3u8
CCTV-3,http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-3,http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i
CCTV-3,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228563/index.m3u8?fmt=ts2hls
CCTV-3,http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8
CCTV-3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229098/index.m3u8
CCTV-3,http://221.6.85.150:9000/live/cctv3_800/cctv3_800.m3u8
CCTV-3,http://121.31.30.90:8085/ysten-business/live/cctv-3/yst.m3u8
CCTV-4,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-4,http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4,http://ml.fzszyx.com/tvshow.php?id=117_2
CCTV-4,http://221.6.85.150:9000/live/cctv4_800/cctv4_800.m3u8
CCTV-5,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5,http://101.71.255.229:6610/zjhs/2/10076/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-5,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228570/index.m3u8?fmt=ts2hls
CCTV-5,https://116.77.72.195/streams/d/cctv5/playlist.m3u8
CCTV-5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5,http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8
CCTV-5,http://221.6.85.150:9000/live/cctv5_800/cctv5_800.m3u8
CCTV-5+,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-5+,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228372/index.m3u8?fmt=ts2hls
CCTV-5+,http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8
CCTV-6,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-6,http://101.71.255.229:6610/zjhs/2/10066/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-6,https://116.77.72.195/streams/d/cctv6/playlist.m3u8
CCTV-6,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228566/index.m3u8?fmt=ts2hls
CCTV-6,http://221.6.85.150:9000/live/cctv6_800/cctv6_800.m3u8
CCTV-6,http://121.31.30.90:8085/ysten-business/live/cctv-6/yst.m3u8
CCTV-7,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-7,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-7,http://ml.fzszyx.com/tvshow.php?id=120_3
CCTV-7,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228507/index.m3u8?fmt=ts2hls
CCTV-7,https://116.77.72.195/streams/d/cctv7/playlist.m3u8
CCTV-7,http://221.6.85.150:9000/live/cctv7_800/cctv7_800.m3u8
CCTV-8,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-8,https://116.77.72.195/streams/d/cctv8/playlist.m3u8
CCTV-8,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228569/index.m3u8?fmt=ts2hls
CCTV-8,http://221.6.85.150:9000/live/cctv8_800/cctv8_800.m3u8
CCTV-9,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-9,http://101.71.255.229:6610/zjhs/2/10092/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-9,http://ml.fzszyx.com/tvshow.php?id=122_2
CCTV-9,https://116.77.72.195/streams/d/cctv9/playlist.m3u8
CCTV-9,http://221.6.85.150:9000/live/cctv9_800/cctv9_800.m3u8
CCTV-10,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-10,http://101.71.255.229:6610/zjhs/2/10084/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-10,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229082/index.m3u8
CCTV-10,http://ml.fzszyx.com/tvshow.php?id=123_3
CCTV-10,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228513/index.m3u8?fmt=ts2hls
CCTV-10,https://116.77.72.195/streams/d/cctv10/playlist.m3u8
CCTV-10,http://221.6.85.150:9000/live/cctv10_800/cctv10_800.m3u8
CCTV-11,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-11,http://ml.fzszyx.com/tvshow.php?id=124_2
CCTV-11,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228297/index.m3u8?fmt=ts2hls
CCTV-11,https://116.77.72.195/streams/d/cctv11/playlist.m3u8
CCTV-11,http://221.6.85.150:9000/live/cctv11_800/cctv11_800.m3u8
CCTV-12,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-12,https://116.77.72.195/streams/d/cctv12/playlist.m3u8
CCTV-12,http://101.71.255.229:6610/zjhs/2/10086/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12,http://ml.fzszyx.com/tvshow.php?id=125_3
CCTV-12,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228485/index.m3u8?fmt=ts2hls
CCTV-12,https://116.77.72.195/streams/d/cctv12/playlist.m3u8
CCTV-12,http://221.6.85.150:9000/live/cctv12_800/cctv12_800.m3u8
CCTV-13,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-13,http://ml.fzszyx.com/tvshow.php?id=126_2
CCTV-13,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
CCTV-13,http://liveali.ifeng.com/live/CCTV.m3u8
CCTV-13,http://221.6.85.150:9000/live/cctv13_800/cctv13_800.m3u8
CCTV-13,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228266/index.m3u8?fmt=ts2hls
CCTV-13,http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV-14,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-14,http://101.71.255.229:6610/zjhs/2/10087/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14,http://ml.fzszyx.com/tvshow.php?id=128_2
CCTV-14,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228488/index.m3u8?fmt=ts2hls
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV-14,http://221.6.85.150:9000/live/cctv14_800/cctv14_800.m3u8
CCTV-14,http://111.40.205.87/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-15,http://101.71.255.229:6610/zjhs/2/10088/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-15,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228281/index.m3u8?fmt=ts2hls
CCTV-15,http://221.6.85.150:9000/live/cctv15_800/cctv15_800.m3u8
CCTV-15,http://223.82.250.72/live/cctv-15/1.m3u8
CCTV-15,http://ml.fzszyx.com/tvshow.php?id=129_2
CCTV-17,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV-17,http://111.40.205.70/PLTV/88888888/224/3221225765/index.m3u8
CCTV-17,http://stream.cdjsxy.cn/lypd/sd/live.m3u8
CETV-1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV-1,http://stream.cdjsxy.cn/zgjy/sd/live.m3u8
CETV-1,http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221227355/index.m3u8
CETV-2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV-3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV-4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
CETV-4,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225906/index.m3u8
卫视台,#genre#
湖南卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
湖南卫视,https://116.77.72.195/streams/d/hunws/playlist.m3u8
湖南卫视,http://101.71.255.229:6610/zjhs/2/10024/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228516/index.m3u8?fmt=ts2hls
湖南卫视,http://stream.cdjsxy.cn/hnws/sd/live.m3u8
江苏卫视,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
江苏卫视,http://221.6.85.150:9000/live/jsws_800/jsws_800.m3u8
江苏卫视,http://101.71.255.229:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江苏卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229110/index.m3u8
江苏卫视,http://ml.fzszyx.com/tvshow.php?id=133_3
江苏卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228494/index.m3u8?fmt=ts2hls
江苏卫视,https://116.77.72.195/streams/d/jsws/playlist.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225663/index.m3u8
北京卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
